O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C0.T00,O_.PlateHeat.plate_33x33.c_0_1
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C0.T01,O_.PlateHeat.plate_33x33.c_11_20
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C0.T02,O_.PlateHeat.plate_33x33.c_23_6
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C1.T00,O_.PlateHeat.plate_33x33.c_0_2
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C1.T01,O_.PlateHeat.plate_33x33.c_11_21
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C1.T02,O_.PlateHeat.plate_33x33.c_23_7
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C2.T00,O_.PlateHeat.plate_33x33.c_0_3
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C2.T01,O_.PlateHeat.plate_33x33.c_11_22
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C2.T02,O_.PlateHeat.plate_33x33.c_23_8
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C3.T00,O_.PlateHeat.plate_33x33.c_0_4
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C3.T01,O_.PlateHeat.plate_33x33.c_11_23
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00.C3.T02,O_.PlateHeat.plate_33x33.c_23_9
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C0.T00,O_.PlateHeat.plate_33x33.c_0_5
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C0.T01,O_.PlateHeat.plate_33x33.c_11_24
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C0.T02,O_.PlateHeat.plate_33x33.c_23_10
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C1.T00,O_.PlateHeat.plate_33x33.c_0_6
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C1.T01,O_.PlateHeat.plate_33x33.c_11_25
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C1.T02,O_.PlateHeat.plate_33x33.c_23_11
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C2.T00,O_.PlateHeat.plate_33x33.c_0_7
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C2.T01,O_.PlateHeat.plate_33x33.c_11_26
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C2.T02,O_.PlateHeat.plate_33x33.c_23_12
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C3.T00,O_.PlateHeat.plate_33x33.c_0_8
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C3.T01,O_.PlateHeat.plate_33x33.c_11_27
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01.C3.T02,O_.PlateHeat.plate_33x33.c_23_13
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C0.T00,O_.PlateHeat.plate_33x33.c_0_9
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C0.T01,O_.PlateHeat.plate_33x33.c_11_28
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C0.T02,O_.PlateHeat.plate_33x33.c_23_14
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C1.T00,O_.PlateHeat.plate_33x33.c_0_10
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C1.T01,O_.PlateHeat.plate_33x33.c_11_29
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C1.T02,O_.PlateHeat.plate_33x33.c_23_15
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C2.T00,O_.PlateHeat.plate_33x33.c_0_11
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02.C2.T01,O_.PlateHeat.plate_33x33.c_11_30
